Participant,Session,seed,M_baroni,SD_baroni,M_cbow,SD_cbow,M_cbow_ukwac,SD_cbow_ukwac,M_en100,SD_en100,M_glove,SD_glove,M_tasa,SD_tasa
1,1,snow,0.8056591909307803,0.13951366408990765,0.7766921728780001,0.14835711964877205,0.752345091933098,0.16027310710607817,0.5106333392175615,0.15633770839378586,0.7446604186539995,0.14877351807883749,0.8206978427000537,0.1945333497122476
2,2,snow,0.7256748667457771,0.08175504868421783,0.6876283005965685,0.1055214866224531,0.6751572820828661,0.07778893603571012,0.5005875177818541,0.11388501543158293,0.8027382332572833,0.11656462347069024,0.7224566125241788,0.15962519996482172
3,1,snow,0.6941188930026371,0.0646712401914052,0.6209626571121669,0.08736032967537975,0.6281711792855567,0.07513777272236763,0.4388547379753205,0.10342530066953307,0.7512851294971542,0.10570219526875416,0.6506272499223472,0.16180086751570205
1,1,candle,0.7759155712304172,0.10435182304035565,0.7458040512969949,0.11667988904403005,0.719181686667726,0.13605290623534685,0.4969916424782932,0.14708345595923,0.7685514624478142,0.1204400867889771,0.8480321947885076,0.17447452734103175
2,2,candle,0.8393825280481861,0.06038264413875263,0.8175187496458373,0.060000620883208546,0.823886001966412,0.051456039579124535,0.6210702551736942,0.0694612695081045,0.8772327933750633,0.06335888817615935,0.9480851451854536,0.0501376980316332
3,1,candle,0.7971281269237207,0.09455578993839037,0.7370597561584735,0.09195614316442643,0.7673231578717243,0.11171656823717355,0.5460945223737802,0.1338410144968091,0.7967845868337302,0.12031507800812458,0.8788466283027495,0.14276024649043254
1,1,table,0.8695851658904228,0.05345778456836567,0.860201971874892,0.051905866535901526,0.784978130248411,0.08589115729478539,0.5880795313615506,0.09003711390958766,0.7699109407716835,0.07902625863882315,0.8763454851785564,0.10020256463501782
2,2,table,0.8705043303343493,0.07031600833326204,0.8551264609199174,0.09910161443186552,0.7899131290686475,0.1084994766666936,0.6626099290786456,0.06271977520976994,0.8417750656998554,0.10520979082326186,0.8244350211884219,0.1915850946158225
3,1,table,0.8425418941100691,0.05347764782365149,0.8110791397791367,0.10513080763799344,0.7459881387638192,0.10786871654028589,0.5840276296944757,0.05982443364216221,0.7291665109894468,0.09349500848797149,0.8091319950366377,0.18191473192564803
1,1,paper,0.8119474261241861,0.08877882071491912,0.7356015444610241,0.11064560388468381,0.7500837715253159,0.13797963420782558,0.5575013161829225,0.11319741541264319,0.7497585825076193,0.10760883215192162,0.8617190124443731,0.11134735166194615
2,2,paper,0.7792613862087467,0.08845861119559145,0.7206368222031316,0.1014884106996319,0.7179920178922246,0.12421405160489997,0.5194621868731225,0.11114558453204729,0.7490735725620472,0.09479398670882434,0.8504135500536928,0.12564764809143714
3,1,paper,0.8101856656438325,0.09995542688526503,0.7457917580811113,0.11791099005441845,0.7455960754280812,0.15155801260775284,0.5599976145139035,0.11910673002866352,0.7545480422154408,0.11991229283020152,0.8787896853501832,0.10274282076710818
1,1,bear,0.8421077452965823,0.08007062152358999,0.7252226294626691,0.09102625649566749,0.7602089374068514,0.07140207756429079,0.5927164828756509,0.09396119827799664,0.7898282841241733,0.10389251276149489,0.8629297809359131,0.09180510859348164
2,2,bear,0.8231715558255532,0.06163557968322374,0.7206680659389371,0.08133754770677223,0.7366216119727477,0.06975519789191748,0.5772759978317398,0.09100329176184149,0.7777948511179525,0.08505163675113393,0.8601875722426019,0.11479093711684837
3,1,bear,0.8362140748417144,0.07274671863968758,0.7392607134178322,0.08352955540914184,0.7502129019511105,0.0800491362688131,0.5919579574865155,0.09947061451648864,0.7842187021664022,0.0997116603426437,0.8451008105519016,0.12280327738445604
1,1,toaster,0.7973773125318679,0.09160484198586906,0.7711029598107022,0.10159349536915252,0.7500014977333189,0.11564054458026408,0.5349405114736515,0.15381230116197167,0.7592337390175589,0.11973642685263784,0.7927213408245751,0.12922897770327438
2,2,toaster,0.8113139680701941,0.07654208914258122,0.782538441730517,0.09463962068699276,0.7550675862353504,0.09283571040016994,0.5694868942282738,0.13664924150114763,0.8020209590688475,0.09881984079253041,0.8456705771313741,0.11564338098130221
3,1,toaster,0.8013241042402112,0.06813874735859342,0.7731273960949173,0.08414332891967552,0.7438271695147068,0.08423490739362928,0.5468223456623679,0.11385598790294514,0.7688279947589227,0.086000332584254,0.8109709263153577,0.0864779742756832
