id,session,seed,M_SemDis_cbowukwacsubtitle_nf_m,SD_SemDis_cbowukwacsubtitle_nf_m,M_SemDis_cbowsubtitle_nf_m,SD_SemDis_cbowsubtitle_nf_m,M_SemDis_cbowBNCwikiukwac_nf_m,SD_SemDis_cbowBNCwikiukwac_nf_m,M_SemDis_TASA_nf_m,SD_SemDis_TASA_nf_m,M_SemDis_glove_nf_m,SD_SemDis_glove_nf_m,M_SemDis_MEAN,SD_SemDis_MEAN,M_SemDis_factor,SD_SemDis_factor
1,1,snow,0.6110746153846154,0.13488965957498897,0.6426738461538462,0.12563126565061083,0.6562876923076923,0.1484801851625241,0.6706453846153846,0.24657297150523835,0.5949953846153846,0.1188287505625487,0.6351353846153847,0.13755561933362231,-0.14517846153846153,0.13313788302897075
1,1,candle,0.6763061538461539,0.1425839769830667,0.7129584615384615,0.09783969804789142,0.7286930769230769,0.11967578733008997,0.8551545454545454,0.20935161983436557,0.7343884615384615,0.15176156605270397,0.7382423076923077,0.13022816145479993,-0.06402692307692308,0.12433484335887877
1,1,table,0.74689,0.08875276474566865,0.8416992307692308,0.10008359568060579,0.8317738461538462,0.07675679085467091,0.7908576923076923,0.22420036467238577,0.7183307692307692,0.12120436175192834,0.7859107692307692,0.09978283456766988,0.011073076923076923,0.07938807376684646
1,1,paper,0.7743684615384615,0.16149360610904248,0.7669207692307692,0.16676261363894576,0.8136253846153846,0.1167318612330116,0.8939146153846154,0.12194362697679781,0.7846761538461539,0.14549371713459322,0.8067023076923077,0.1245941867393129,0.016092307692307694,0.12829878585771612
1,1,bear,0.7405476923076924,0.10458249400623464,0.7004307692307692,0.13256025111004796,0.8276184615384615,0.10743296303945032,0.8747876923076923,0.1394132163841151,0.8017653846153846,0.15605289389687635,0.7890292307692308,0.08939320690648501,0.0043900000000000015,0.09095351523351548
1,1,toaster,0.7607246153846153,0.15186171531009085,0.7366963636363636,0.12554977206452644,0.8130861538461539,0.14061897362129938,0.7631266666666667,0.22936254358547734,0.7856538461538461,0.18531158308546453,0.7832815384615385,0.15364412180133205,0.0071715384615384644,0.1440365058382859
2,2,snow,0.7058061538461539,0.09470253002062665,0.7366415384615385,0.13368936618433505,0.7657061538461538,0.09615250001416686,0.8100176923076923,0.16780975032030798,0.8534830769230769,0.1580856783722367,0.77433,0.11237245414246323,-0.026382307692307694,0.0999478608370256
2,2,candle,0.832099090909091,0.11453420060877413,0.8258972727272728,0.12090782233510858,0.846689090909091,0.10496224430284877,1.002008888888889,0.07249758969173467,0.8859453846153846,0.09504117060651351,0.8867315384615384,0.09715119846971812,0.07956846153846153,0.09352051342229271
2,2,table,0.8331846153846154,0.11713499218248041,0.8903630769230769,0.1054813273668706,0.8949923076923076,0.1096862353225361,0.8799415384615384,0.21425845976476457,0.8570838461538461,0.1364663680507925,0.8711138461538461,0.12322064549271369,0.08881846153846154,0.1062624842740963
2,2,paper,0.7316692307692307,0.16437117333753803,0.7411030769230769,0.1485910169102098,0.77676,0.13329862477410134,0.8979507692307692,0.1776422056861084,0.7487692307692307,0.14552487058125946,0.7792507692307692,0.13333148462019628,-0.019312307692307695,0.13652193866151124
2,2,bear,0.7353361538461538,0.07252343799748025,0.6803953846153846,0.1270766782048923,0.792753076923077,0.09110448254473318,0.8621907692307692,0.14873029900133208,0.7577838461538461,0.12907252254310764,0.7656923076923077,0.08294869188780157,-0.01882923076923077,0.07808776637663743
2,2,toaster,0.7831761538461538,0.15793955808781523,0.8173815384615384,0.13793606954226742,0.8378376923076923,0.1542382943777715,0.9044490909090909,0.19337908275997928,0.8200000000000001,0.190004362756929,0.8248446153846154,0.15824371633735226,0.03696461538461539,0.15243486393732159
3,1,snow,0.67999,0.09291276733223121,0.6411623076923076,0.11750067015084396,0.7470192307692307,0.09364875158996502,0.6768723076923077,0.20079551294595896,0.7837692307692308,0.11766336348962793,0.7057623076923077,0.10816291124609567,-0.06606692307692308,0.09379749937894714
3,1,candle,0.7834730769230769,0.14731113187087025,0.74276,0.12951734523478572,0.8031776923076923,0.12805013400707851,0.9051672727272727,0.1537701474988503,0.8169815384615384,0.1433950328548235,0.8058376923076923,0.1290863352020555,0.015436153846153844,0.1308273129955707
3,1,table,0.7536246153846153,0.12495356334890872,0.8006192307692308,0.11678050104516154,0.830636923076923,0.08970094503261149,0.822193076923077,0.16974440405035526,0.7378238461538461,0.12914197681482587,0.78898,0.1090491007910351,0.011823076923076926,0.09581066210540935
3,1,paper,0.7790938461538461,0.16363687698368712,0.7717523076923077,0.12876134824769467,0.8414576923076923,0.11482995922622909,0.9348661538461539,0.11520905270698577,0.8155430769230769,0.15333108313844995,0.8285438461538461,0.12442784324917401,0.03462538461538461,0.13081605875015145
3,1,bear,0.7737138461538462,0.10155519858172873,0.7717207692307693,0.104758413620859,0.8331630769230769,0.11225271358149992,0.8475,0.19232916423846555,0.8156653846153846,0.16602118708242153,0.8083546153846154,0.11735057673593431,0.025384615384615384,0.10672980758402535
3,1,toaster,0.7655346153846154,0.1528445646517721,0.7727627272727273,0.16837227266334023,0.8050246153846153,0.12071542290413051,0.878481111111111,0.16066590758811003,0.7757561538461538,0.15731919243682368,0.7939361538461538,0.13895003637629735,0.008446923076923078,0.13313046635942097
